Date,Open,High,Low,Close,AdjClose,Volume
10/1/2018,24000,24200,23950,23950,23110.25586,7277600
10/2/2018,24075,24200,23750,23950,23110.25586,10127900
10/3/2018,23750,23975,23725,23925,23086.13281,6704900
10/4/2018,23925,23925,23500,23600,22772.52734,13573900
10/5/2018,23550,23550,22975,23050,22241.8125,19649900
10/8/2018,23075,23950,23075,23450,22627.78906,11450000
10/9/2018,23500,23750,23400,23750,22917.26758,7388000
10/10/2018,23900,24125,23250,23375,22555.41602,11878900
10/11/2018,23000,23300,22475,22725,21928.20508,20467200
10/12/2018,23000,23475,23000,23250,22434.79883,16514900
10/15/2018,23500,23850,23475,23850,23013.76367,13190000
10/16/2018,23850,24100,23500,24100,23254.99609,9489800
10/17/2018,24150,24175,23775,24025,23182.62695,7671800
10/18/2018,23800,23875,23600,23600,22772.52734,5872100
10/19/2018,23300,23650,23225,23375,22555.41602,9043900
10/22/2018,23375,23600,23150,23150,22338.30469,12696800
10/23/2018,23400,23425,22875,22950,22145.31641,12432500
10/24/2018,23000,23150,22650,22650,21855.83594,11898700
10/25/2018,22175,23175,22175,22900,22097.07031,17546500
10/26/2018,23100,23600,23000,23600,22772.52734,16798800
10/29/2018,23300,23550,23125,23125,22314.18164,6910600
10/30/2018,23125,23650,23100,23500,22676.03516,13776500
10/31/2018,23750,23875,23500,23650,22820.77344,25781700
11/1/2018,23850,24050,23725,23800,22965.51758,23581300
11/2/2018,24000,24175,23800,24000,23158.50391,22810900
11/5/2018,24000,24250,23950,24175,23327.36719,15350900
11/6/2018,24300,24725,24250,24400,23544.47852,18882100
11/7/2018,24600,24600,23900,24100,23254.99609,16775100
11/8/2018,24400,24500,23900,24000,23158.50391,19947800
11/9/2018,24000,24050,23925,24000,23158.50391,12587700
11/12/2018,24150,24175,23700,23700,22869.01953,13025000
11/13/2018,23700,24100,23350,24075,23230.87305,12246300
11/14/2018,24075,24250,23900,24050,23206.75,13702300
11/15/2018,24275,24350,23950,24175,23327.36719,17417100
11/16/2018,24350,24900,24300,24825,23954.57617,26829100
11/19/2018,25000,25400,24900,25100,24219.93359,20764500
11/20/2018,25100,25100,25100,25100,24219.93359,0
11/21/2018,25000,25050,24775,24800,23930.45313,21577800
11/22/2018,24700,25200,24700,25100,24219.93359,17454000
11/23/2018,25300,25450,24875,25100,24219.93359,11492000
11/26/2018,24800,25400,24800,25225,24340.54883,12867300
11/27/2018,25200,25500,25000,25500,24605.91016,14797800
